Index,Code,Name,lon,lat,Type,Alt
0,Z9552,蚌埠,117.44777777777777,32.91777777777778,SA,149.6
1,Z9558,阜阳,115.74083333333333,32.87888888888889,SA,66.2
2,Z9551,合肥,117.25777777777778,31.866944444444446,SA,165.6
3,Z9559,黄山,118.165,30.137777777777778,SA,1847.0
4,Z9555,马鞍山,118.51583333333333,31.700833333333332,CC,58.5
5,Z9562,铜陵,118.01388888888889,30.571944444444444,SA,487.0
6,Z9563,宣城,118.75888888888889,30.940555555555555,SA,47.0
7,Z9010,北京SA,116.47194444444445,39.80888888888889,SA,92.4
8,Z9591,福州,119.53194444444445,25.981944444444444,SA,650.6
9,Z9599,建阳,118.10083333333333,27.35,SA,291.3
10,Z9597,龙岩,117.18194444444444,25.057777777777776,SA,1505.8
11,Z9593,宁德,119.67777777777778,26.56388888888889,SA,923.0
12,Z9592,厦门,118.07888888888888,24.481944444444444,SA,185.1
13,Z9596,东山,117.4,23.599444444444444,SA,250.0
14,Z9595,泉州,118.58694444444444,24.907222222222224,SA,30.0
15,Z9598,三明,117.63777777777777,26.263055555555557,SA,302.6
16,Z9937,酒泉,98.29777777777778,39.763888888888886,CC,1747.0
17,Z9931,兰州,103.85083333333333,36.00972222222222,CC,2189.5
18,Z9938,天水,105.63888888888889,34.60388888888889,CD,1672.9
19,Z9934,西峰,107.62694444444445,35.715833333333336,CD,1465.0
20,Z9936,张掖,100.27694444444444,39.08777777777778,CC,1518.3
21,Z9941,甘南,102.88972222222222,34.908055555555556,CD,3346.0
22,Z9200,广州,113.355,23.003888888888888,SA,180.8
23,Z9762,河源,114.60694444444445,23.69,SA,1056.2
24,Z9753,梅州,115.99277777777777,24.25777777777778,SA,423.0
25,Z9754,汕头,116.69972222222222,23.29388888888889,SA,199.8
26,Z9660,汕尾,115.35583333333334,22.817777777777778,SA,277.7
27,Z9751,韶关,113.56583333333333,24.79083333333333,SA,301.9
28,Z9755,深圳,114.00472222222223,22.541944444444443,SA,149.1
29,Z9662,阳江,111.97888888888889,21.844722222222224,SA,103.0
30,Z9759,湛江,110.52583333333334,21.011944444444445,SA,106.0
31,Z9758,肇庆,112.56277777777778,22.927777777777777,SA,95.6
32,Z9763,连州,112.40194444444444,24.731944444444444,SA,632.1
33,Z9776,百色,106.60277777777777,23.90277777777778,SB,268.0
34,Z9779,北海,109.04194444444444,21.446944444444444,SA,157.0
35,Z9773,桂林,110.3,25.316944444444445,SB,240.8
36,Z9778,河池,107.50777777777778,24.988888888888887,SB,1051.0
37,Z9772,柳州,109.45583333333333,24.356944444444444,SB,352.3
38,Z9771,南宁,108.4,22.809722222222224,SA,239.9
39,Z9774,梧州,111.30388888888889,23.469722222222224,SB,141.0
40,Z9075,崇左,107.36472222222223,22.377222222222223,SB,140.0
41,Z9770,防城港,108.34694444444445,21.615277777777777,SA,5.0
42,Z9775,玉林,110.165,22.636388888888888,SA,100.0
43,Z9857,毕节,105.30083333333333,27.30388888888889,CD,1599.1
44,Z9854,都匀,107.51472222222222,26.322777777777777,CD,1016.6
45,Z9851,贵阳,106.72583333333333,26.59,CD,1255.7
46,Z9859,兴义,104.89583333333333,25.087777777777777,CD,1330.7
47,Z9852,遵义,106.91277777777778,27.682777777777776,CD,1038.8
48,Z9858,六盘水,104.82972222222222,26.592777777777776,CD,1884.0
49,Z9856,铜仁,109.21805555555555,27.821944444444444,CD,790.0
50,Z9898,海口,110.24694444444444,19.997777777777777,SA,127.2
51,Z9070,三亚,109.49694444444444,18.227777777777778,SC,202.0
52,Z9071,西沙,112.33277777777778,16.83388888888889,SC,42.7
53,Z9073,万宁,110.39083333333333,18.795,SA,50.0
54,Z9072,东方,108.65194444444444,19.095277777777778,SA,59.0
55,Z9556,安庆,116.4738888888889,30.616944444444446,SA,460.0
56,Z9317,沧州,116.80583333333334,38.30583333333333,SA,102.0
57,Z9314,承德,117.91777777777777,40.975833333333334,CB,473.7
58,Z9335,秦皇岛,118.88083333333333,39.880833333333335,SA,114.0
59,Z9311,石家庄,114.71194444444444,38.35194444444444,SA,134.8
60,Z9313,张家口,114.69388888888889,41.15472222222222,CB,1426.4
61,Z9379,洛阳,112.45194444444445,34.64277777777778,SB,244.0
62,Z9377,南阳,112.49277777777777,33.020833333333336,SB,231.4
63,Z9393,濮阳,114.95777777777778,35.79694444444444,SB,145.0
64,Z9398,三门峡,111.1288888888889,34.67888888888889,SB,760.5
65,Z9370,商丘,115.62972222222223,34.40694444444444,SB,141.2
66,Z9371,郑州,113.69694444444444,34.70388888888889,SA,202.0
67,Z9396,驻马店,114.01972222222223,33.00972222222222,SB,189.1
68,Z9376,信阳,114.06972222222223,32.12305555555555,SA,150.0
69,Z9375,平顶山,113.11583333333333,33.77055555555555,SA,190.2
70,Z9451,哈尔滨,126.72777777777777,45.72388888888889,CC,215.0
71,Z9457,加格达奇,124.11777777777777,50.40777777777778,CC,470.0
72,Z9454,佳木斯,130.3177777777778,46.795833333333334,CC,161.5
73,Z9085,建三江,132.625,47.23277777777778,CC,165.0
74,Z9084,九三分局,125.29194444444444,48.867777777777775,CC,650.0
75,Z9453,牡丹江,129.6,44.590833333333336,CC,324.0
76,Z9452,齐齐哈尔,123.93388888888889,47.36694444444444,CC,222.0
77,Z9458,伊春,128.9138888888889,47.700833333333335,CC,653.0
78,Z9718,恩施,109.25694444444444,30.286944444444444,SB,1751.9
79,Z9716,荆州,112.14777777777778,30.351944444444445,SA,63.2
80,Z9719,十堰,110.74388888888889,32.59888888888889,SB,832.6
